event_name,event_start_at,event_end_at,receiver_uid,event_type,event_time,first_follow,bind_date,brand_id
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 16:21:52,2020-09-03 21:54:26,2021-07-06 12:38:19,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,U4a813f88cd72060425b26e784d0ec3fd,enter,2022-09-20 16:20:00,,2021-07-24 18:37:41,1
測試B,2022-09-16,2022-09-30,U625856a34d956243958c053a3566d537,enter,2022-09-20 16:18:34,2022-07-06 10:51:58,2022-09-22 10:09:45,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 16:18:21,,2019-04-08 23:11:14,1
測試B,2022-09-16,2022-09-30,Ua459f9806408ef3c49574df52a6db824,enter,2022-09-20 16:16:16,2021-09-23 23:26:42,2022-08-30 16:20:37,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 16:15:43,,2019-04-08 23:11:14,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 16:14:09,,2019-04-08 23:11:14,1
測試B,2022-09-16,2022-09-30,U6611d2e9016941f5604d4bef2a74f0b1,enter,2022-09-20 16:13:51,2022-01-25 17:00:12,2022-01-25 17:01:13,1
測試B,2022-09-16,2022-09-30,Uddf8ae9ee1ca6acc460b3e59a590f610,enter,2022-09-20 16:13:33,,2017-12-01 06:38:30,1
測試B,2022-09-16,2022-09-30,Uf164313ee42902771267bf5e3e45f4b2,enter,2022-09-20 16:12:31,2020-03-11 11:47:38,2022-09-08 17:07:22,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 16:12:19,,2019-04-08 23:11:14,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 16:08:49,,2019-04-08 23:11:14,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 16:06:41,,2019-04-08 23:11:14,1
測試B,2022-09-16,2022-09-30,U425e726360631db3cdfb11794db2db4b,enter,2022-09-20 16:06:29,,2021-06-08 11:48:03,1
測試B,2022-09-16,2022-09-30,U31caa7a38bbceb461f8b7c069c4ec46f,enter,2022-09-20 16:05:51,,2021-11-10 21:40:18,1
測試B,2022-09-16,2022-09-30,Uddf8ae9ee1ca6acc460b3e59a590f610,enter,2022-09-20 16:04:02,,2017-12-01 06:38:30,1
測試B,2022-09-16,2022-09-30,U213383cf1a10df1491e0aca533a22489,enter,2022-09-20 16:01:27,2020-07-14 15:17:43,2022-08-02 15:00:16,1
最強穩膚精華，周年慶先試再買,2022-09-12,2022-09-25,Uaf43b018962146e9532319d6d9aa7ce5,enter,2022-09-20 16:01:11,2020-09-03 21:54:26,2021-07-06 12:38:19,1
測試B,2022-09-16,2022-09-30,U26f8b1472eb7fa88d63786b17ed679cd,enter,2022-09-20 15:56:49,,2019-04-08 23:11:14,1
